,,,,,,,
Tên công ty,Công ty Cổ phần Đầu tư Thế Giới Di Động,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,15/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,61500,62300,61200,61500,0,0,8759800
13/03/2025,62700,62800,61200,61500,-1200,-0.0191387559808612,7327800
12/03/2025,63000,63000,61900,62700,-300,-0.00476190476190475,8817600
11/03/2025,61400,63200,61400,63000,800,0.0128617363344052,9576900
10/03/2025,62000,62300,61400,62200,300,0.00484652665589658,8125200
07/03/2025,61800,62000,61300,61900,0,0,5404100
06/03/2025,59800,61900,59600,61900,2300,0.0385906040268456,13451900
05/03/2025,59800,60200,59300,59600,100,0.00168067226890756,7188800
04/03/2025,58700,59900,58400,59500,700,0.0119047619047619,6414100
03/03/2025,58200,59100,57800,58800,500,0.00857632933104635,5938000
28/02/2025,58000,58700,57800,58300,-300,-0.00511945392491464,5283200
27/02/2025,58700,58800,58200,58600,-100,-0.00170357751277683,3222900
26/02/2025,58300,59100,57800,58700,400,0.00686106346483695,4977600
25/02/2025,58100,58400,57400,58300,-100,-0.00171232876712324,7929200
24/02/2025,58100,58500,57300,58400,300,0.00516351118760761,6243200
21/02/2025,56800,58300,56600,58100,1400,0.0246913580246915,10123600
20/02/2025,55900,56700,55700,56700,900,0.0161290322580645,6194500
19/02/2025,54700,56100,54400,55800,1300,0.0238532110091743,7547500
18/02/2025,54000,55000,53800,54500,400,0.00739371534195943,4497600
17/02/2025,55200,55200,54100,54100,-1100,-0.019927536231884,5933200
14/02/2025,55100,55300,53800,55200,400,0.0072992700729928,11169000
13/02/2025,56000,56000,54800,54800,-1600,-0.0283687943262412,11353700
12/02/2025,56800,57300,56400,56400,0,0,4848400
11/02/2025,57400,57400,56400,56400,-1000,-0.0174216027874564,5986000
10/02/2025,58300,58300,57400,57400,-1500,-0.0254668930390493,5927400
07/02/2025,58900,59000,57800,58900,-200,-0.00338409475465318,6955900
06/02/2025,59500,59600,58700,59100,-300,-0.00505050505050508,4148800
05/02/2025,59600,59800,59100,59400,-200,-0.00335570469798663,2780100
04/02/2025,59900,59900,59000,59600,0,0,3638100
03/02/2025,59000,59600,58500,59600,-500,-0.00831946755407653,5157500
24/01/2025,59200,60100,58600,60100,900,0.0152027027027026,6757300
23/01/2025,57300,59500,57300,59200,1800,0.0313588850174216,5657500
22/01/2025,57900,58000,57400,57400,-300,-0.00519930675909874,3103000
21/01/2025,57700,58200,57200,57700,200,0.00347826086956515,3419600
20/01/2025,57700,57900,57300,57500,-200,-0.00346620450606583,2216200
17/01/2025,57300,57800,57200,57700,-100,-0.0017301038062284,2697800
16/01/2025,57200,58000,57000,57800,500,0.00872600349040131,3794300
15/01/2025,57400,57900,56800,57300,100,0.00174825174825166,3242300
14/01/2025,57300,57500,56600,57200,-100,-0.00174520069808026,2917600
13/01/2025,56600,57700,56500,57300,-200,-0.00347826086956526,3791900
10/01/2025,57500,58000,56900,57500,-200,-0.00346620450606583,3594100
09/01/2025,58000,58000,57500,57700,-400,-0.00688468158347677,1738300
08/01/2025,57100,58100,56500,58100,1000,0.0175131348511384,3068200
07/01/2025,57300,57800,56400,57100,100,0.00175438596491229,5532900
06/01/2025,58400,59300,57000,57000,-1600,-0.0273037542662116,5409900
03/01/2025,60600,60700,58600,58600,-2000,-0.033003300330033,6604400
02/01/2025,60900,61200,60300,60600,-400,-0.00655737704918036,3969400
31/12/2024,60900,61000,60500,61000,0,0,4520300
30/12/2024,60500,61200,60500,61000,-400,-0.00651465798045603,4178100
27/12/2024,60600,61600,60400,61400,-100,-0.00162601626016257,6947200
26/12/2024,62400,62400,60500,61500,-700,-0.0112540192926045,6554700
25/12/2024,61300,62300,61300,62200,900,0.0146818923327896,6300500
24/12/2024,61200,61300,60700,61300,300,0.00491803278688519,3062600
23/12/2024,60600,61100,60500,61000,400,0.00660066006600668,5538600
20/12/2024,60000,60800,59600,60600,800,0.0133779264214047,3751400
19/12/2024,59800,59900,59400,59800,-400,-0.00664451827242529,7103100
18/12/2024,60200,60500,59900,60200,-100,-0.00165837479270314,4076200
17/12/2024,61000,61000,60200,60300,-700,-0.0114754098360655,3676200
16/12/2024,61000,61400,60200,61000,0,0,3621300
13/12/2024,59800,61300,59600,61000,1000,0.0166666666666666,5596800
12/12/2024,60300,60500,59900,60000,0,0,3772900
11/12/2024,60700,60800,59900,60000,-800,-0.0131578947368421,4821400
10/12/2024,61100,61200,60500,60800,-300,-0.0049099836333879,4226800
09/12/2024,61600,61600,60800,61100,0,0,4410300
06/12/2024,60800,61900,60500,61100,100,0.00163934426229506,7825300
05/12/2024,58400,61200,58100,61000,2900,0.0499139414802066,8615300
04/12/2024,59400,59800,58000,58100,-1700,-0.0284280936454849,8857200
03/12/2024,60100,60300,59600,59800,-600,-0.00993377483443714,4019600
02/12/2024,60700,60700,59900,60400,-100,-0.00165289256198342,2789900
29/11/2024,60000,60500,58900,60500,500,0.0083333333333333,5587400
28/11/2024,60300,60600,59700,60000,-200,-0.00332225913621265,3774500
27/11/2024,59900,60900,59500,60200,200,0.00333333333333341,4937400
26/11/2024,59300,60100,59000,60000,1000,0.0169491525423728,4370400
25/11/2024,58800,59300,58600,59000,0,0,4568500
22/11/2024,58700,59400,58400,59000,300,0.00511073253833039,5804700
21/11/2024,57000,58900,56500,58700,1900,0.033450704225352,8166800
20/11/2024,57200,58100,56000,56800,-700,-0.0121739130434783,9752900
19/11/2024,59000,59000,57500,57500,-1400,-0.0237691001697793,5338500
18/11/2024,59900,59900,57100,58900,-1000,-0.0166944908180301,12080100
15/11/2024,60800,61100,59800,59900,-1400,-0.0228384991843393,6648600
14/11/2024,61500,61600,60700,61300,-600,-0.00969305331179327,4481400
13/11/2024,60800,62300,60300,61900,1100,0.018092105263158,7232500
12/11/2024,63100,63200,60800,60800,-2200,-0.0349206349206349,10600700
11/11/2024,64500,65000,62900,63000,-2000,-0.0307692307692308,9390500
08/11/2024,65400,65400,64500,65000,-400,-0.00611620795107037,4698600
07/11/2024,65800,65800,64800,65400,-200,-0.00304878048780488,5244200
06/11/2024,65700,65700,65000,65600,0,0,5415900
05/11/2024,64900,65600,64800,65600,500,0.00768049155145922,5272300
04/11/2024,65900,65900,64700,65100,-900,-0.0136363636363637,9363400
01/11/2024,65900,66100,65500,66000,-500,-0.00751879699248126,21332900
31/10/2024,66000,66500,65600,66500,500,0.00757575757575757,6146200
30/10/2024,66500,66500,65700,66000,-500,-0.00751879699248126,8927400
29/10/2024,65600,66500,65400,66500,1000,0.0152671755725191,9538500
28/10/2024,65500,65600,64900,65500,0,0,3958700
25/10/2024,65400,66000,65000,65500,100,0.00152905198776754,4951300
24/10/2024,65400,66000,64900,65400,-300,-0.00456621004566216,4641700
23/10/2024,66100,66300,65100,65700,-600,-0.00904977375565608,6100300
22/10/2024,66300,66800,65500,66300,500,0.00759878419452886,9781100
21/10/2024,65300,66000,64900,65800,100,0.00152207001522076,4333000
18/10/2024,65900,66100,65200,65700,-100,-0.00151975683890582,6162200
17/10/2024,65800,65800,65200,65800,300,0.00458015267175571,6628300
16/10/2024,64400,65700,64300,65500,1100,0.0170807453416149,13710200
15/10/2024,63900,64800,63700,64400,800,0.0125786163522013,12469800
14/10/2024,64900,65000,63600,63600,-900,-0.013953488372093,8405400
11/10/2024,65000,65300,63500,64500,-500,-0.00769230769230767,10009100
10/10/2024,64500,65400,64100,65000,800,0.0124610591900312,8668600
09/10/2024,65000,65300,63600,64200,-1000,-0.0153374233128835,20847000
08/10/2024,66700,66700,65000,65200,-1100,-0.0165912518853696,11008100
07/10/2024,66700,67100,65900,66300,-100,-0.00150602409638556,5548200
04/10/2024,66500,66800,66200,66400,100,0.00150829562594268,5272300
03/10/2024,67400,67400,65800,66300,-1100,-0.016320474777448,14743000
02/10/2024,67500,67900,67000,67400,-400,-0.00589970501474924,7157400
01/10/2024,68300,68700,67800,67800,-300,-0.00440528634361237,9995700
30/09/2024,67500,68100,66900,68100,600,0.00888888888888895,5927100
27/09/2024,68600,68600,66800,67500,-800,-0.0117130307467057,13131500
26/09/2024,68800,69500,68300,68300,-400,-0.0058224163027657,7182600
25/09/2024,68500,68700,68000,68700,600,0.00881057268722474,5446300
24/09/2024,67500,68800,67500,68100,800,0.0118870728083209,6640500
23/09/2024,68000,68000,66800,67300,-700,-0.0102941176470588,5047700
20/09/2024,68600,68700,68000,68000,-200,-0.00293255131964809,5016600
19/09/2024,68500,68500,67700,68200,0,0,5280600
18/09/2024,66900,68600,66800,68200,1400,0.0209580838323353,10676700
17/09/2024,66200,66800,65500,66800,700,0.0105900151285931,8761200
16/09/2024,66900,67000,66000,66100,-1100,-0.0163690476190477,5295500
13/09/2024,67200,67500,66500,67200,-300,-0.00444444444444447,7126500
12/09/2024,68000,68000,67200,67500,-300,-0.00442477876106195,3872500
11/09/2024,67800,67900,67100,67800,0,0,6804000
10/09/2024,67500,68700,67500,67800,300,0.00444444444444447,6456200
09/09/2024,67700,68000,67200,67500,-500,-0.00735294117647056,3677000
06/09/2024,67600,68000,66800,68000,100,0.00147275405007363,8345500
05/09/2024,68800,68900,67600,67900,-1200,-0.0173661360347323,8459500
04/09/2024,68700,69700,68200,69100,-700,-0.0100286532951289,4462400
30/08/2024,69100,69800,68700,69800,700,0.0101302460202606,5295100
29/08/2024,68900,69400,68600,69100,-300,-0.00432276657060515,4226000
28/08/2024,69700,69700,68700,69400,-400,-0.00573065902578795,6602000
27/08/2024,69400,69800,67800,69800,0,0,14475100
26/08/2024,70000,70800,69600,69800,-200,-0.00285714285714289,5961000
23/08/2024,70000,70200,69300,70000,0,0,4425700
22/08/2024,69700,70200,69100,70000,200,0.00286532951289398,5281400
21/08/2024,69400,70200,68900,69800,300,0.00431654676258986,8947700
20/08/2024,69000,69500,68300,69500,500,0.00724637681159424,8137200
19/08/2024,69000,69700,68600,69000,0,0,6418900
16/08/2024,66000,69500,65900,69000,3100,0.047040971168437,18518500
15/08/2024,66300,66400,65300,65900,-700,-0.0105105105105106,7146900
14/08/2024,66800,67000,65800,66600,-100,-0.00149925037481258,6293000
13/08/2024,66800,67200,65900,66700,100,0.00150150150150141,9391000
12/08/2024,65900,66800,65600,66600,1000,0.0152439024390243,11011200
09/08/2024,62700,65800,62500,65600,3200,0.0512820512820513,17518100
08/08/2024,62000,62900,61900,62400,100,0.00160513643659721,5791600
07/08/2024,62300,62500,61500,62300,0,0,4794900
06/08/2024,61800,62300,60600,62300,700,0.0113636363636365,6419700
05/08/2024,61500,62300,60300,61600,-1300,-0.0206677265500795,11577700
02/08/2024,61000,62900,60700,62900,800,0.0128824476650564,7605200
01/08/2024,63800,63800,61500,62100,-1700,-0.0266457680250783,10605900
31/07/2024,63900,64500,63500,63800,800,0.0126984126984127,10333100
30/07/2024,62000,63200,61900,63000,1000,0.0161290322580645,5470300
29/07/2024,61400,62400,61100,62000,1000,0.0163934426229508,5340200
26/07/2024,60500,61000,60400,61000,0,0,4384000
25/07/2024,60000,61000,59700,61000,-400,-0.00651465798045603,4903300
24/07/2024,61600,62000,58600,61400,-1100,-0.0176,15062500
23/07/2024,65000,65000,62000,62500,-2800,-0.0428790199081164,9198000
22/07/2024,65200,65400,63800,65300,-300,-0.00457317073170727,5883400
19/07/2024,65000,66300,64700,65600,600,0.00923076923076915,12007200
18/07/2024,63500,65000,63400,65000,1500,0.0236220472440944,7938100
17/07/2024,64700,64700,62200,63500,-600,-0.00936037441497661,16982000
16/07/2024,64600,65300,64100,64100,-200,-0.00311041990668737,7680700
15/07/2024,64900,65000,64100,64300,-500,-0.00771604938271608,3694800
12/07/2024,64800,65400,64100,64800,0,0,8736600
11/07/2024,65400,65700,64600,64800,-400,-0.00613496932515334,8302000
10/07/2024,66700,66800,65200,65200,-1600,-0.0239520958083832,10907100
09/07/2024,67200,67200,66300,66800,-200,-0.0029850746268657,7977800
08/07/2024,65600,67400,65600,67000,1400,0.0213414634146341,10448700
05/07/2024,65200,65800,65000,65600,500,0.00768049155145922,7939400
04/07/2024,65700,66300,64900,65100,-400,-0.00610687022900769,5861500
