,,,,,,,
Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,15/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,62400,62700,62100,62100,100,0.00161290322580654,2696700
13/03/2025,62300,62900,61900,62000,-200,-0.00321543408360125,5100400
12/03/2025,62500,62800,62200,62200,-200,-0.00320512820512819,2755400
11/03/2025,62300,62500,62100,62400,-100,-0.00160000000000005,2287600
10/03/2025,63000,63000,62500,62500,-200,-0.00318979266347685,2529500
07/03/2025,62900,63000,62400,62700,-200,-0.00317965023847377,2655600
06/03/2025,62700,62900,62200,62900,200,0.00318979266347696,3125600
05/03/2025,63600,63600,62700,62700,-800,-0.0125984251968504,2275500
04/03/2025,63200,63800,62900,63500,300,0.004746835443038,6042000
03/03/2025,62800,63200,62300,63200,1000,0.0160771704180065,3610600
28/02/2025,62300,63200,62200,62200,0,0,4175600
27/02/2025,63200,63200,62200,62200,-900,-0.0142630744849446,3520600
26/02/2025,63000,63400,62900,63100,200,0.00317965023847377,3636600
25/02/2025,64000,64000,62600,62900,-900,-0.0141065830721003,3884200
24/02/2025,61600,63900,61600,63800,2400,0.0390879478827362,11512800
21/02/2025,60800,62100,60600,61400,700,0.0115321252059308,4717200
20/02/2025,60900,60900,60600,60700,-100,-0.00164473684210531,2627900
19/02/2025,60300,60900,60300,60800,500,0.00829187396351583,3072700
18/02/2025,60400,60500,60000,60300,300,0.00499999999999989,2436800
17/02/2025,60400,60600,60000,60000,-300,-0.00497512437810943,3612400
14/02/2025,60700,60700,60300,60300,-400,-0.00658978583196046,6401800
13/02/2025,61000,61000,60400,60700,-300,-0.0049180327868853,2576800
12/02/2025,60600,61000,60500,61000,600,0.00993377483443703,2756600
11/02/2025,60600,60700,60100,60400,-200,-0.00330033003300334,3433800
10/02/2025,61200,61200,60600,60600,-200,-0.00328947368421051,2592100
07/02/2025,60700,61200,60600,60800,100,0.00164744645799009,2552300
06/02/2025,61500,61600,60500,60700,-800,-0.0130081300813009,3024800
05/02/2025,60400,61500,60400,61500,1300,0.021594684385382,3198100
04/02/2025,60600,60900,60000,60200,-300,-0.00495867768595037,7125000
03/02/2025,62200,62200,60500,60500,-1700,-0.0273311897106109,7279900
24/01/2025,61900,62500,61800,62200,200,0.00322580645161286,1576400
23/01/2025,61600,62300,61600,62000,400,0.00649350649350655,1781300
22/01/2025,62000,62000,61600,61600,-200,-0.00323624595469252,1760900
21/01/2025,62000,62100,61600,61800,-100,-0.00161550888529882,1403900
20/01/2025,62000,62200,61600,61900,-100,-0.00161290322580643,1633600
17/01/2025,62200,62200,62000,62000,100,0.00161550888529893,889400
16/01/2025,62300,62600,61700,61900,200,0.00324149108589955,1684500
15/01/2025,62100,62300,61700,61700,100,0.00162337662337664,1216400
14/01/2025,61400,61800,61300,61600,200,0.00325732899022801,1147600
13/01/2025,61200,61900,61100,61400,100,0.00163132137030986,1101700
10/01/2025,61700,61900,61300,61300,-500,-0.00809061488673135,1189800
09/01/2025,61800,61900,61300,61800,100,0.00162074554294978,1500000
08/01/2025,62000,62100,61200,61700,0,0,2053300
07/01/2025,62600,63000,61600,61700,-800,-0.0128,2802100
06/01/2025,63000,63200,62500,62500,-500,-0.00793650793650791,2103500
03/01/2025,63200,63300,62900,63000,-100,-0.00158478605388268,1776700
02/01/2025,63600,63800,63100,63100,-300,-0.00473186119873814,1336600
31/12/2024,63400,63800,63300,63400,100,0.00157977883096372,1641900
30/12/2024,63600,63700,63300,63300,-500,-0.00783699059561127,1490800
27/12/2024,63900,64100,63700,63800,0,0,2443700
26/12/2024,64200,64200,63800,63800,-100,-0.00156494522691708,1708800
25/12/2024,63900.0000021928,64396.1180146322,63900.0000021928,63900.0000021928,100,0.00155520995334379,1382500
24/12/2024,63900.0000021928,64197.6708096565,63602.3291947292,63800.776399705,-100,-0.00155279503105588,4725000
23/12/2024,64197.6708096565,64495.3416171201,63800.776399705,63900.0000021928,-600,-0.00923076923076927,1367800
20/12/2024,63503.1055922413,64495.3416171201,63503.1055922413,64495.3416171201,1100,0.0172143974960877,3799600
19/12/2024,63900.0000021928,63999.2236046807,63403.8819897535,63403.8819897535,-800,-0.0123647604327666,2646900
18/12/2024,64495.3416171201,64594.565219608,64197.6708096565,64197.6708096565,100,0.00154798761609909,1614100
17/12/2024,64396.1180146322,64495.3416171201,63999.2236046807,64098.4472071686,-400,-0.00615384615384618,1204000
16/12/2024,63701.5527972171,64693.7888220959,63701.5527972171,64495.3416171201,800,0.0124610591900312,2387600
13/12/2024,63800.776399705,63999.2236046807,63602.3291947292,63701.5527972171,-400,-0.00619195046439625,1396700
12/12/2024,63701.5527972171,64396.1180146322,63701.5527972171,64098.4472071686,400,0.00623052959501558,2249807
11/12/2024,63403.8819897535,64098.4472071686,63403.8819897535,63701.5527972171,300,0.00469483568075124,2024600
10/12/2024,63602.3291947292,63900.0000021928,63403.8819897535,63403.8819897535,-200,-0.00312012480499224,1711000
09/12/2024,63999.2236046807,63999.2236046807,63503.1055922413,63602.3291947292,0,0,1762700
06/12/2024,63999.2236046807,64296.8944121444,63602.3291947292,63602.3291947292,-200,-0.00311041990668737,1677900
05/12/2024,63006.987579802,64197.6708096565,62709.3167723383,63800.776399705,1000,0.0157977883096367,2218400
04/12/2024,63304.6583872656,63403.8819897535,62808.5403748262,62808.5403748262,-600,-0.00938967136150237,2745800
03/12/2024,64098.4472071686,64098.4472071686,63403.8819897535,63403.8819897535,-600,-0.00930232558139532,2425200
02/12/2024,64098.4472071686,64296.8944121444,63701.5527972171,63999.2236046807,-100,-0.00154798761609909,1229100
29/11/2024,63999.2236046807,64296.8944121444,63800.776399705,64098.4472071686,100,0.00155038759689918,1105500
28/11/2024,64495.3416171201,64495.3416171201,63999.2236046807,63999.2236046807,-100,-0.00154798761609909,1273300
27/11/2024,64296.8944121444,64495.3416171201,63999.2236046807,64098.4472071686,-200,-0.00308641975308643,1586400
26/11/2024,63999.2236046807,64495.3416171201,63900.0000021928,64296.8944121444,500,0.00777604976671853,1675600
25/11/2024,63800.776399705,64098.4472071686,63701.5527972171,63800.776399705,0,0,2446600
22/11/2024,63403.8819897535,64296.8944121444,63403.8819897535,63800.776399705,400,0.00625978090766832,2585700
21/11/2024,63205.4347847777,63602.3291947292,62907.7639773141,63403.8819897535,300,0.00471698113207553,2253500
20/11/2024,62510.8695673626,63304.6583872656,62411.6459648747,63106.2111822898,600,0.00952380952380949,2818000
19/11/2024,62808.5403748262,63006.987579802,62510.8695673626,62510.8695673626,-200,-0.00316455696202533,2833600
18/11/2024,63205.4347847777,63701.5527972171,62709.3167723383,62709.3167723383,-500,-0.00784929356357933,3797000
15/11/2024,64396.1180146322,64396.1180146322,63205.4347847777,63205.4347847777,-1300,-0.02,3688300
14/11/2024,64495.3416171201,64495.3416171201,64197.6708096565,64495.3416171201,0,0,1779900
13/11/2024,64594.565219608,65090.6832320474,64197.6708096565,64495.3416171201,100,0.00154083204930666,2820700
12/11/2024,64693.7888220959,65189.9068345353,64296.8944121444,64396.1180146322,-300,-0.004601226993865,1729600
11/11/2024,65189.9068345353,65289.1304370231,64197.6708096565,64693.7888220959,-500,-0.00761035007610356,2737600
08/11/2024,65487.5776419989,65686.0248469746,65090.6832320474,65189.9068345353,-200,-0.00303490136570561,1852400
07/11/2024,65487.5776419989,65686.0248469746,65090.6832320474,65388.354039511,100,0.00151975683890582,1152300
06/11/2024,65487.5776419989,65487.5776419989,64793.0124245837,65289.1304370231,300,0.00458015267175571,2594600
05/11/2024,65189.9068345353,65487.5776419989,64991.4596295595,64991.4596295595,-100,-0.00152439024390238,1060900
04/11/2024,65388.354039511,66082.9192569261,65090.6832320474,65090.6832320474,-200,-0.00303951367781152,2118800
01/11/2024,65586.8012444868,65785.2484494625,65090.6832320474,65289.1304370231,-300,-0.00453857791225421,2178005
31/10/2024,66082.9192569261,66082.9192569261,64793.0124245837,65586.8012444868,-200,-0.00301659125188536,5269100
30/10/2024,66479.8136668776,66777.4844743413,65785.2484494625,65785.2484494625,-700,-0.0104477611940299,3431700
29/10/2024,66777.4844743413,66777.4844743413,66281.3664619019,66479.8136668776,-200,-0.00297619047619047,2030600
28/10/2024,67174.3788842928,67472.0496917564,66182.142859414,66678.2608718534,-800,-0.0117647058823529,2923300
25/10/2024,68067.3913066837,68067.3913066837,67372.8260892685,67472.0496917564,-400,-0.00584795321637432,2170200
24/10/2024,66777.4844743413,68464.2857166352,66777.4844743413,67868.9441017079,1100,0.0163447251114413,4365000
